smiles,dock_3fap,dock_7pqv,dock_combined,depth,used_time,mol,is_valid,canon_smiles,is_novel_moses,QED,logP,MW,HBD,HBA,RotB,TPSA,Lipinski_violations,Lipinski_pass,SA_score
[NH3+]CC(=O)Nc1cc(C(=O)NCc2nnco2)cc(Cl)c1,-7.752,-7.601,-15.353,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8870F0>,TRUE,[NH3+]CC(=O)Nc1cc(Cl)cc(C(=O)NCc2nnco2)c1,TRUE,0.7070123539732907,-0.1666,310.721,3,5,5,124.76,0,TRUE,3.0407380141740195
CCCN(CCC)C(=O)[C@@H]1CCCCN1Cc1ccc(Cl)nc1,-7.699,-7.465,-15.164,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887150>,TRUE,CCCN(CCC)C(=O)[C@@H]1CCCCN1Cc1ccc(Cl)nc1,TRUE,0.7110785639077288,3.738100000000003,337.8949999999999,0,3,7,36.440000000000005,0,TRUE,2.7629966900470397
O=S(=O)(NCc1ccncc1)c1ccc(F)cc1F,-8.092,-7.362,-15.454,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8871B0>,TRUE,O=S(=O)(NCc1ccncc1)c1ccc(F)cc1F,TRUE,0.9316207493914164,1.8383,284.28700000000003,1,3,4,59.06,0,TRUE,1.9627281888075352
N#Cc1ccc(C[NH2+][C@H]2CCc3[nH]c4ccccc4c3[C@@H]2c2ccccc2)c[nH+]1,-10.421,-8.055,-18.476,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887210>,TRUE,N#Cc1ccc(C[NH2+][C@H]2CCc3[nH]c4ccccc4c3[C@@H]2c2ccccc2)c[nH+]1,TRUE,0.5612127819823599,3.063980000000001,380.49500000000006,2,1,4,70.33,0,TRUE,4.553953385122333
CCOCc1cccc(C(=O)O[C@H]2CC[C@@H](SC)C2)c1,-7.563,-7.001,-14.564,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887270>,TRUE,CCOCc1cccc(C(=O)O[C@H]2CC[C@@H](SC)C2)c1,TRUE,0.7500540135658741,3.6640000000000015,294.416,0,4,6,35.53,0,TRUE,3.119206763464816
Cc1ccc(N2C(=O)c3ccccc3[C@@H]2C(=O)NCCC(=O)NCc2ccc(F)cc2)cc1C,-11.471,-9.607,-21.078,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8872D0>,TRUE,Cc1ccc(N2C(=O)c3ccccc3[C@@H]2C(=O)NCCC(=O)NCc2ccc(F)cc2)cc1C,TRUE,0.5613581988702233,3.9667400000000015,459.5210000000002,2,3,7,78.51,0,TRUE,2.7272365671885286
C=CCOc1ccc(C(C)=O)c(C(=O)N[C@@H]2CCc3ccccc32)c1,-9.142,-8.173,-17.315,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887330>,TRUE,C=CCOc1ccc(C(C)=O)c(C(=O)N[C@@H]2CCc3ccccc32)c1,TRUE,0.6438630539208161,3.8713000000000015,335.403,1,3,6,55.400000000000006,0,TRUE,2.6535926602921016
COc1ccc(CC(=O)N2CCC(Oc3ccc(C(C)=O)cc3)CC2)cc1,-9.863,-8.429,-18.292,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887390>,TRUE,COc1ccc(CC(=O)N2CCC(Oc3ccc(C(C)=O)cc3)CC2)cc1,TRUE,0.7333913983661683,3.510300000000002,367.4450000000001,0,4,6,55.84,0,TRUE,1.9265195682316296
C[C@@H](Oc1ccccc1)C(=O)NCc1cccc(C(=O)Nc2ncccc2)c1,-10.853,-9.473,-20.326,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8873F0>,TRUE,C[C@@H](Oc1ccccc1)C(=O)NCc1cccc(C(=O)Nc2ccccn2)c1,TRUE,0.663096632298075,3.417600000000002,375.428,2,4,7,80.32,0,TRUE,2.306912324983731
CS(=O)(=O)N1CCC(C[NH2+][C@@H](C)c2ccc(-c3ccccc3F)cc2)CC1,-10.51,-8.78,-19.29,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887450>,TRUE,C[C@H]([NH2+]CC1CCN(S(C)(=O)=O)CC1)c1ccc(-c2ccccc2F)cc1,TRUE,0.8232766540480235,2.7887000000000013,391.53200000000015,1,2,6,53.99,0,TRUE,3.3061610165630477
C[C@H](CNC(=O)c1ccc(C(=O)N2CCCCC2)nc1)c1ccccc1,-10.267,-8.985,-19.252,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8874B0>,TRUE,C[C@H](CNC(=O)c1ccc(C(=O)N2CCCCC2)nc1)c1ccccc1,TRUE,0.8994062978311244,3.241200000000002,351.44999999999993,1,3,5,62.3,0,TRUE,2.4162753296137893
C/C(=N/Nc1ccc(NC(=O)c2cnccn2)cc1)c1ccc(F)cc1Cl,-9.984,-8.841,-18.825,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887510>,TRUE,C/C(=N/Nc1ccc(NC(=O)c2cnccn2)cc1)c1ccc(F)cc1Cl,TRUE,0.506549390810682,4.357500000000003,383.8140000000001,2,5,5,79.27,0,TRUE,2.245346141658201
C[NH2+]CC(=O)N[C@@H](C)c1ccc(Cl)cc1,-6.761,-6.297,-13.058,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887570>,TRUE,C[NH2+]CC(=O)N[C@@H](C)c1ccc(Cl)cc1,TRUE,0.7821957287915691,0.7103999999999999,227.715,2,1,4,45.71,0,TRUE,3.2552421934756213
Cc1c(F)cccc1C[NH+]1C[C@@H](C)O[C@H]2CCCC[C@@H]21,-9.318,-8.59,-17.908,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8875D0>,TRUE,Cc1c(F)cccc1C[NH+]1C[C@@H](C)O[C@H]2CCCC[C@@H]21,TRUE,0.8758136073283199,2.24892,278.391,1,1,2,13.670000000000002,0,TRUE,4.737284789249407
C=CCO[C@@H]1CCCCN1S(C)(=O)=O,-5.856,-5.738,-11.594,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887630>,TRUE,C=CCO[C@@H]1CCCCN1S(C)(=O)=O,TRUE,0.6616141279151484,0.9606,219.306,0,3,4,46.61,0,TRUE,3.2685573408220225
COC[C@@H](C)NC(=O)CO/N=C(/N)C1COC1,-5.931,-5.871,-11.802,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887690>,TRUE,COC[C@@H](C)NC(=O)CO/N=C(/N)C1COC1,TRUE,0.3431874055215921,-0.9273,245.279,2,5,7,95.17,0,TRUE,3.3154442346997133
CNC(=O)Cc1ccccc1NC(=O)c1ccc(NC(=O)c2ccc(Br)cc2)cc1,-9.942,-9.741,-19.683,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8876F0>,TRUE,CNC(=O)Cc1ccccc1NC(=O)c1ccc(NC(=O)c2ccc(Br)cc2)cc1,TRUE,0.5080507742183641,4.242200000000002,466.3350000000001,3,3,6,87.30000000000001,0,TRUE,1.8761274264033485
C[C@@H](NC(=O)CCc1n[nH]c(=S)c(=O)[nH]1)c1ccc(F)cc1,-8.897,-8.027,-16.924,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887750>,TRUE,C[C@@H](NC(=O)CCc1n[nH]c(=S)c(=O)[nH]1)c1ccc(F)cc1,TRUE,0.7318973175607765,1.7765899999999997,322.365,3,4,5,90.64,0,TRUE,3.057819618522256
CS(=O)(=O)N1CCC[C@H](c2nnc(SCC(=O)Nc3ccc(F)cc3)n2Cc2ccco2)C1,-9.995,-8.773,-18.768,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8877B0>,TRUE,CS(=O)(=O)N1CCC[C@H](c2nnc(SCC(=O)Nc3ccc(F)cc3)n2Cc2ccco2)C1,TRUE,0.4805356779294735,2.928300000000001,493.5860000000002,1,8,8,110.33,0,TRUE,2.9098833961865456
C[C@H](c1ccc([S@@](C)=O)cc1)N(C)S(=O)(=O)c1ccc2c(=O)[nH]c(C)nc2c1,-9.882,-9.42,-19.302,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887810>,TRUE,Cc1nc2cc(S(=O)(=O)N(C)[C@H](C)c3ccc([S@@](C)=O)cc3)ccc2c(=O)[nH]1,TRUE,0.6842008698735383,2.35062,419.5280000000002,1,5,5,100.2,0,TRUE,3.43282867467936
C/N=C1/C(=N\c2ccc(OC)cc2)N=C(C2=CC[C@@H](OCCOC)C(=O)C2)C1,-8.595,-8.517,-17.112,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887870>,TRUE,C/N=C1\CC(C2=CC[C@@H](OCCOC)C(=O)C2)=N\C1=N\c1ccc(OC)cc1,TRUE,0.6780270547737605,2.9616000000000016,383.44800000000026,0,6,7,81.84,0,TRUE,3.956100230966638
C[NH2+]C[C@@H](C)[C@H](Cc1cc(C)c(C)s1)c1ccccc1,-8.073,-7.497,-15.57,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8878D0>,TRUE,C[NH2+]C[C@@H](C)[C@H](Cc1cc(C)c(C)s1)c1ccccc1,TRUE,0.8373674044670817,3.5205400000000022,288.48,1,1,6,16.61,0,TRUE,3.914763906321959
CCCCNC(=O)[C@@H](C)N1CCN(c2ncnc3ccsc23)CC1,-8.399,-7.351,-15.75,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887930>,TRUE,CCCCNC(=O)[C@@H](C)N1CCN(c2ncnc3ccsc23)CC1,TRUE,0.8112321484504581,2.1181,347.48800000000006,1,6,6,61.36000000000001,0,TRUE,2.774207446815732
Cc1ccc([N+](=O)[O-])cc1OC(=O)C[C@@H]1Cc2ccccc2O1,-8.756,-8.452,-17.208,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887990>,TRUE,Cc1ccc([N+](=O)[O-])cc1OC(=O)C[C@@H]1Cc2ccccc2O1,TRUE,0.3746852898087563,3.202420000000002,313.309,0,5,4,78.67,0,TRUE,2.727989352768933
C=CCS(=O)(=O)CCc1ccccc1C,-7.192,-6.545,-13.737,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8879F0>,TRUE,C=CCS(=O)(=O)CCc1ccccc1C,TRUE,0.718042899066197,2.13832,224.325,0,2,5,34.14,0,TRUE,2.430945876777649
CO[C@@H]1CCC(C)(C)[C@@H](C(=O)OCc2csc(CC)n2)C1,-7.703,-7.087,-14.79,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887A50>,TRUE,CCc1nc(COC(=O)[C@H]2C[C@H](OC)CCC2(C)C)cs1,TRUE,0.7797474922582359,3.5900000000000025,311.44700000000006,0,5,5,48.42,0,TRUE,3.5792664187442758
CN(C)C(=O)/C=C/C(=O)Nc1cccc([N+](=O)[O-])c1,-7.501,-7.194,-14.695,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887AB0>,TRUE,CN(C)C(=O)/C=C/C(=O)Nc1cccc([N+](=O)[O-])c1,TRUE,0.501165884133799,1.1776999999999995,263.253,1,4,4,92.55,0,TRUE,2.185550300990581
C[C@@H](O)C[C@@H](C)CC(=O)Nc1ccc2c(c1)nc(C)n2C,-7.805,-7.657,-15.462,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887B10>,TRUE,Cc1nc2cc(NC(=O)C[C@H](C)C[C@@H](C)O)ccc2n1C,TRUE,0.8888216020283601,2.6173200000000003,289.3790000000001,2,4,5,67.15,0,TRUE,3.0339864103678966
CS(=O)(=O)c1cc(C(=O)Nc2c(C)nn(CC(=O)[O-])c2)ccc1O,-8.255,-8.442,-16.697,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887B70>,TRUE,Cc1nn(CC(=O)[O-])cc1NC(=O)c1ccc(O)c(S(C)(=O)=O)c1,TRUE,0.724586300768883,-0.69718,352.34800000000007,2,8,5,141.42,0,TRUE,2.795468140528481
C[C@H]1[NH2+]CC[C@@H]1C(=O)NCc1ccc2ccccc2c1,-9.298,-8.554,-17.852,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887BD0>,TRUE,C[C@H]1[NH2+]CC[C@@H]1C(=O)NCc1ccc2ccccc2c1,TRUE,0.8696832050964175,1.4278000000000002,269.368,2,1,3,45.71,0,TRUE,3.569699336409114
C/C=C(/C)C(=O)N[C@H](CO)C1CC1,-6.112,-5.606,-11.718,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887C30>,TRUE,C/C=C(/C)C(=O)N[C@H](CO)C1CC1,TRUE,0.6344431159307276,0.8396999999999997,183.251,2,2,4,49.33,0,TRUE,3.333460467987008
CCC(CC)=N/N=C1\C2=C(CCC2(O)C)C(=O)O[C@H]1[C@@H](c1c[nH]c2ccccc12)N1CCOCC1,-10.425,-7.593,-18.018,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887C90>,TRUE,CCC(CC)=N/N=C1\C2=C(CCC2(C)O)C(=O)O[C@H]1[C@@H](c1c[nH]c2ccccc12)N1CCOCC1,TRUE,0.3724051983892724,3.9250000000000025,478.59300000000025,2,7,6,99.51,0,TRUE,4.581607127704968
Cc1cc(C)n(CN2CC[C@@]([NH3+])(CCC(=O)[O-])C2)n1,-7.09,-6.731,-13.821,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887CF0>,TRUE,Cc1cc(C)n(CN2CC[C@@]([NH3+])(CCC(=O)[O-])C2)n1,TRUE,0.7151987303121539,-1.32606,266.345,1,5,5,88.83,0,TRUE,4.37090319787583
COc1cccc(NC(=O)NCc2ccnc(-n3cccc3)c2)c1,-9.151,-8.282,-17.433,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887D50>,TRUE,COc1cccc(NC(=O)NCc2ccnc(-n3cccc3)c2)c1,TRUE,0.7577586367556155,3.202600000000001,322.368,2,4,5,68.18,0,TRUE,2.107655441352655
CN(C1CCCCC1)S(=O)(=O)c1ccc(C(=O)NC2CCCCC2)cc1,-10.199,-8.587,-18.786,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887DB0>,TRUE,CN(C1CCCCC1)S(=O)(=O)c1ccc(C(=O)NC2CCCCC2)cc1,TRUE,0.8493906004593799,3.702300000000003,378.5380000000002,1,3,5,66.48,0,TRUE,2.030472316906488
C[C@@H]1CCCN(C(=O)NCc2cc[nH]c2)C1,-7.319,-7.002,-14.321,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887E10>,TRUE,C[C@@H]1CCCN(C(=O)NCc2cc[nH]c2)C1,TRUE,0.7876128332579707,1.9562,221.304,2,1,2,48.13,0,TRUE,2.836691680046956
CS[C@@H](C)C(=O)Nc1cccc(CN2C(=O)c3ccccc3C2=O)c1,-9.262,-8.772,-18.034,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887E70>,TRUE,CS[C@@H](C)C(=O)Nc1cccc(CN2C(=O)c3ccccc3C2=O)c1,TRUE,0.8377394353198261,3.1728000000000014,354.4310000000001,1,4,5,66.48,0,TRUE,2.4415030983047927
C[C@H](NC(=O)N(C)CCO)c1cccc(C#N)c1,-6.907,-7.046,-13.953,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887ED0>,TRUE,C[C@H](NC(=O)N(C)CCO)c1cccc(C#N)c1,TRUE,0.8403793614150344,1.2529800000000002,247.298,2,3,4,76.36000000000001,0,TRUE,2.6377527198312105
C/C(C/C=C/c1c(=O)n2ccccc12)C(=O)Nc1ccccc1,-10.108,-8.672,-18.78,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887F30>,TRUE,CC(C/C=C/C1=C2C=CC=CN2C1=O)C(=O)Nc1ccccc1,TRUE,0.906258805074966,3.387300000000001,306.365,1,2,5,49.41,0,TRUE,3.439651934802283
C[NH2+]C[C@@](C)(O)CCS(=O)(=O)c1ncc(C)cc1C,-6.707,-6.631,-13.338,2,1612.586,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887F90>,TRUE,C[NH2+]C[C@@](C)(O)CCS(=O)(=O)c1ncc(C)cc1C,TRUE,0.7591865632123213,-0.19356,287.40500000000003,2,4,6,83.87,0,TRUE,4.155578783674645
OC[C@@H]([NH2+]Cc1ncon1)c1ccc(Cl)cc1,-6.969,-6.849,-13.818,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888030>,TRUE,OC[C@@H]([NH2+]Cc1ncon1)c1ccc(Cl)cc1,TRUE,0.8157584859166825,0.5200000000000005,254.69700000000003,2,4,5,75.76,0,TRUE,4.086055367045629
Oc1cccc(CCn2cccn2)c1,-6.914,-6.352,-13.266,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888090>,TRUE,Oc1cccc(CCn2cccn2)c1,TRUE,0.7975654616069213,1.8314,188.23000000000005,1,3,3,38.05,0,TRUE,2.0055244881311616
O=C([O-])CCCNc1ccccc1Br,-6.398,-5.938,-12.336,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8880F0>,TRUE,O=C([O-])CCCNc1ccccc1Br,TRUE,0.8107954525795534,1.3910999999999991,257.107,1,3,5,52.16,0,TRUE,2.5070095797749783
Oc1cccc(CN2CC[C@@H](NC(=O)NCCCn3cccn3)C2)c1,-8.368,-7.831,-16.199,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888150>,TRUE,O=C(NCCCn1cccn1)N[C@@H]1CCN(Cc2cccc(O)c2)C1,TRUE,0.6663796034697538,1.5524999999999998,343.43100000000004,3,5,7,82.42,0,TRUE,2.725006783386833
O[C@H]1CCCC[C@@H]1OCCN1C(=O)[C@@H](OCc2ccco2)C(=O)N1c1cccc(Br)c1,-9.318,-9.09,-18.408,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8881B0>,TRUE,O=C1[C@@H](OCc2ccco2)C(=O)N(c2cccc(Br)c2)N1CCO[C@H]1CCCC[C@@H]1O,TRUE,0.5689035409307701,3.0378000000000007,493.3540000000001,1,6,8,92.45,0,TRUE,4.063312092632127
O=C(Cc1ccco1)N(C[C@@H]1CCCCO1)C1CC1,-7.268,-6.688,-13.956,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888210>,TRUE,O=C(Cc1ccco1)N(C[C@@H]1CCCCO1)C1CC1,TRUE,0.8188342798919671,2.382200000000001,263.33699999999993,0,3,5,42.68000000000001,0,TRUE,2.8538784480103114
OCCC(=O)C1(c2cc(Cl)ccc2SCc2cccc([N+](=O)[O-])c2)CC1,-8.7,-8.165,-16.865,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888270>,TRUE,O=C(CCO)C1(c2cc(Cl)ccc2SCc2cccc([N+](=O)[O-])c2)CC1,TRUE,0.4060962439251198,4.523600000000004,391.87600000000015,1,5,8,80.44,0,TRUE,2.69738525869443
Oc1c(F)c(F)cc(CN2C[C@@H](CCNc3ccccc3O)c3ncccc32)c1,-10.153,-9.104,-19.257,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8882D0>,TRUE,Oc1ccccc1NCC[C@@H]1CN(Cc2cc(O)c(F)c(F)c2)c2cccnc21,TRUE,0.5389213808903629,4.377000000000002,397.42500000000007,3,5,6,68.62,0,TRUE,3.2717370378530037
O[C@H](C[NH+]1CCN(c2ccc(F)cc2)CC1)C1CCCCC1,-9.088,-8.138,-17.226,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888330>,TRUE,O[C@H](C[NH+]1CCN(c2ccc(F)cc2)CC1)C1CCCCC1,TRUE,0.8816192378982137,1.4717999999999996,307.4330000000001,2,2,4,27.910000000000004,0,TRUE,3.762926668490731
O=C(NCc1ccc2c(c1)OCO2)[C@@H]1CCCN(c2ncccn2)C1,-9.746,-9.084,-18.83,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888390>,TRUE,O=C(NCc1ccc2c(c1)OCO2)[C@@H]1CCCN(c2ncccn2)C1,TRUE,0.9135304459680842,1.7380999999999998,340.38300000000004,1,6,4,76.58000000000001,0,TRUE,2.6244936002352937
OCC[NH+]1CCC[C@H]1CS(=O)(=O)Cc1ccc(F)cc1Cl,-7.751,-7.443,-15.194,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8883F0>,TRUE,O=S(=O)(Cc1ccc(F)cc1Cl)C[C@@H]1CCC[NH+]1CCO,TRUE,0.7920037759152599,0.4335000000000002,336.836,2,3,6,58.81,0,TRUE,4.514106206542683
Oc1ccc([C@H]2CCCN2c2ncccc2C(=O)N2CCC[C@@H](O)C2)cn1,-9.088,-5.57,-14.658,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888450>,TRUE,O=C(c1cccnc1N1CCC[C@@H]1c1ccc(O)nc1)N1CCC[C@@H](O)C1,TRUE,0.8625627787611801,2.1206,368.4370000000002,2,6,3,89.79,0,TRUE,3.4040400068344763
O[C@H]1CCCN(c2ccccc2-c2ccc[nH]2)C1,-7.826,-7.284,-15.11,2,2013.425,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8884B0>,TRUE,O[C@H]1CCCN(c2ccccc2-c2ccc[nH]2)C1,TRUE,0.8494605485953297,2.6428000000000003,242.322,2,2,2,39.26,0,TRUE,2.7608375099736837
FC(F)c1ccc(OCCNC(=O)Nc2ccccc2Cl)cc1,-8.952,-8.246,-17.198,2,2137.813,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888510>,TRUE,O=C(NCCOc1ccc(C(F)F)cc1)Nc1ccccc1Cl,TRUE,0.7617529350358311,4.478100000000002,340.75700000000006,2,2,6,50.36,0,TRUE,1.93644415167206
FC(F)(F)c1ccc(NCC(=O)N2CCC(n3cccc3)CC2)cc1,-9.429,-8.876,-18.305,2,2137.813,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888570>,TRUE,O=C(CNc1ccc(C(F)(F)F)cc1)N1CCC(n2cccc2)CC1,TRUE,0.9101668061114504,3.7825000000000015,351.37200000000007,1,3,4,37.27,0,TRUE,2.360069221008713
Fc1ccc(CN2CCN(C(=O)Cc3c[nH]c4ccc(Cl)cc43)CC2)cc1,-10.886,-9.159,-20.045,2,2137.813,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED8885D0>,TRUE,O=C(Cc1c[nH]c2ccc(Cl)cc12)N1CCN(Cc2ccc(F)cc2)CC1,TRUE,0.7405955022607105,3.8473000000000015,385.8700000000002,1,2,4,39.34,0,TRUE,2.0340738908321025
Fc1cc(/C=N/N2CCN(Cc3ccccc3)CC2)ccc1O,-9.384,-8.374,-17.758,2,2137.813,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888630>,TRUE,Oc1ccc(/C=N/N2CCN(Cc3ccccc3)CC2)cc1F,TRUE,0.882228854772423,2.683000000000001,313.3760000000001,1,4,4,39.07,0,TRUE,2.1645181885880707
[NH3+]CCn1ccc(CO)cc1=O,-5.35,-5.441,-10.791,2,2446.393,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED888690>,TRUE,[NH3+]CCn1ccc(CO)cc1=O,TRUE,0.5828791173520235,-1.4175,169.20399999999998,2,3,3,69.87,0,TRUE,3.366628274694552
